composite_ID,TC_IFR-N-i1,TC_IFR-N-i2,TC_IFR-N-i3,TC_IFR-N-i4,TC_IFR-N-i5,TC_IFR-N-i6,TC_IFR-U-i1,TC_IFR-U-i2,TC_IFR-U-i3,TC_IFR-U-i4,TC_IFR-U-i5,TC_IFR-U-i6,TC_IFR-D-i1,TC_IFR-D-i2,TC_IFR-D-i3,TC_IFR-D-i4,TC_IFR-D-i5,TC_IFR-D-i6,TC_IFR-O-i1,TC_IFR-O-i2,TC_IFR-O-i3,TC_IFR-O-i4,TC_IFR-O-i5,TC_IFR-O-i6,TC_ICR-N-i1,TC_ICR-N-i2,TC_ICR-N-i3,TC_ICR-N-i4,TC_ICR-N-i5,TC_ICR-N-i6,TC_ICR-U-i1,TC_ICR-U-i2,TC_ICR-U-i3,TC_ICR-U-i4,TC_ICR-U-i5,TC_ICR-U-i6,TC_ICR-D-i1,TC_ICR-D-i2,TC_ICR-D-i3,TC_ICR-D-i4,TC_ICR-D-i5,TC_ICR-D-i6,TC_ICR-O-i1,TC_ICR-O-i2,TC_ICR-O-i3,TC_ICR-O-i4,TC_ICR-O-i5,TC_ICR-O-i6,TC_IRE-N-i1,TC_IRE-N-i2,TC_IRE-N-i3,TC_IRE-N-i4,TC_IRE-N-i5,TC_IRE-N-i6,TC_IRE-U-i1,TC_IRE-U-i2,TC_IRE-U-i3,TC_IRE-U-i4,TC_IRE-U-i5,TC_IRE-U-i6,TC_IRE-D-i1,TC_IRE-D-i2,TC_IRE-D-i3,TC_IRE-D-i4,TC_IRE-D-i5,TC_IRE-D-i6,TC_IRE-O-i1,TC_IRE-O-i2,TC_IRE-O-i3,TC_IRE-O-i4,TC_IRE-O-i5,TC_IRE-O-i6
A082_T4,0,2,3,2,2,0,4,1,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,4,2,4,2,0,1,0,2,0,1,0,0,3,0,1,0,0,0,0,0,0,0,4,4,4,4,4,4,1,0,1,2,1,1,0,0,3,0,0,1,0,0,0,0,0,0
A083_T1,4,4,4,0,4,4,4,4,1,0,4,1,1,4,0,0,4,4,0,2,4,0,1,2,4,4,4,4,4,4,1,4,4,2,4,2,0,4,1,0,4,4,0,0,4,0,1,0,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,0,3,4,0,0,1
A083_T2,4,4,0,2,4,1,2,4,4,4,1,0,2,2,1,2,0,0,2,0,0,4,0,0,2,4,4,4,4,4,2,4,2,2,4,0,2,1,2,1,1,0,1,0,1,0,0,0,4,4,4,4,4,4,2,4,3,4,4,2,2,3,2,2,1,2,0,1,0,0,0,1
A083_T3,1,4,0,4,4,4,4,4,4,0,0,1,1,0,0,3,0,1,0,0,3,1,0,0,3,4,4,4,4,4,3,4,4,2,3,4,3,1,2,3,1,1,1,4,2,2,1,1,4,4,4,4,4,4,1,4,4,1,3,4,1,1,2,2,2,1,1,1,1,4,1,1
A083_T4,4,0,4,0,0,4,4,3,2,0,0,0,2,4,4,0,0,0,1,2,2,0,0,0,4,1,4,2,3,4,2,1,3,1,2,4,4,1,4,2,2,2,2,1,2,0,4,1,4,4,4,4,4,4,2,1,2,3,1,4,4,1,4,1,3,2,1,1,2,1,1,2
A084_T1,1,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,2,3,3,2,2,3,2,3,3,2,1,3,2,1,3,0,1,3,2,1,1,0,1,4,4,3,4,3,3,3,3,2,3,3,2,3,1,2,3,1,1,3,1,1,1,1,1
A084_T2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,2,2,1,0,1,0,2,2,0,0,1,0,0,0,0,0,1,0,4,4,4,2,3,2,3,3,3,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0
A084_T3,4,0,4,3,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,2,2,1,0,2,1,2,2,0,0,0,1,1,1,1,0,1,0,2,1,0,0,3,4,2,3,2,0,4,3,2,3,0,0,1,2,2,1,0,0,1,1,2,0,0,0
A084_T4,0,0,2,2,0,2,1,2,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,2,2,2,1,2,0,2,2,2,1,1,0,0,1,0,1,1,0,0,1,2,1,1,0,2,4,3,1,3,0,2,4,3,1,1,0,0,2,2,1,3,0,0,2,3,1,2
A085_T1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,4,0,4,4,2,4,4,0,4,0,0,1,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,1,1,1,1
A085_T2,4,4,4,4,4,1,1,4,4,1,4,4,4,0,4,2,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,1,0,0,1,2,2,0,4,4,4,4,4,4,4,2,4,4,4,4,1,0,4,4,4,1,0,0,0,4,0,0
A085_T3,4,4,4,4,0,0,4,4,4,4,0,0,1,4,0,4,4,0,4,0,4,0,0,0,4,4,4,4,2,4,4,4,4,4,0,4,0,0,0,4,0,4,4,0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A085_T4,0,0,4,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,1,4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,4,1,4,2,3,0,4,0,4,2,2,0,0,0,2,0,1,1,4,0,0,0
A086_T1,4,0,4,0,0,0,4,0,4,0,0,0,2,0,4,0,4,0,2,0,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,2,2,4,1,1,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,2,4,2,2,4,2,0,2
A086_T2,4,2,0,4,3,4,3,3,4,4,4,1,1,4,1,1,1,0,1,4,1,1,1,0,4,4,4,4,4,4,3,4,4,4,4,4,4,1,4,2,1,1,2,2,2,1,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,2,3,2,2,3,2,1,3,1
A086_T3,1,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,4,4,4,4,2,0,4,2,2,3,0,3,2,4,2,1,0,1,1,3,1,1,0,4,4,4,4,4,4,2,3,2,2,2,4,2,2,4,2,2,2,1,1,1,1,1,1
A086_T4,3,3,0,0,0,0,2,3,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,4,4,4,4,4,3,2,4,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,4,4,4,4,4,4,2,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
A087_T1,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,2,0,4,4,2,4,2,0,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,4,1,4,4,1,2,1,1,1,4,4,4,3,4,4,4,4,4,2,0,4,4,4,1,1,2,4,1,0,0,0,0,0
A087_T2,2,4,4,4,0,4,4,2,4,4,0,0,2,4,4,4,0,0,1,1,0,0,0,0,4,4,4,4,4,4,1,4,4,4,1,1,1,4,4,4,0,0,0,2,1,0,1,1,4,4,3,4,4,4,1,4,4,4,3,1,1,4,4,4,1,1,0,2,1,1,1,1
A087_T3,4,0,4,4,4,0,4,4,4,1,0,0,0,4,1,2,0,4,1,0,1,1,0,0,4,4,0,4,4,4,4,0,0,1,4,1,4,2,0,1,3,2,0,0,0,0,0,0,4,4,4,4,4,4,4,1,4,0,4,1,4,1,1,0,0,1,2,0,0,0,0,0
A087_T4,4,4,4,4,4,0,4,4,4,2,4,0,0,1,1,4,1,0,0,0,0,0,0,0,4,4,4,4,4,1,4,4,4,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,4,4,3,4,4,4,4,4,4,1,4,0,0,2,0,1,1,0,0,0,0,0,0,0
A088_T1,4,2,0,3,4,0,1,4,1,0,4,0,1,4,4,0,4,0,1,0,0,0,4,0,0,2,3,4,4,4,0,2,3,4,4,4,0,2,3,4,4,1,0,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,0,0,1,1,4,0
A088_T2,4,4,4,4,0,3,3,3,4,3,3,0,3,3,4,4,1,0,0,3,4,1,1,0,4,4,4,4,4,4,4,3,4,4,3,4,4,0,4,4,1,4,0,0,1,4,1,1,4,4,4,4,4,2,4,4,4,4,3,3,4,1,4,4,1,3,0,1,1,2,1,1
A088_T3,4,4,3,0,4,1,4,3,3,0,4,1,2,3,3,0,1,1,1,2,3,0,0,1,4,4,4,4,4,4,4,4,4,0,4,2,2,4,4,1,0,1,1,1,4,0,1,0,4,4,3,4,4,1,4,3,3,2,4,2,1,3,3,0,1,1,1,1,2,0,2,1
A088_T4,4,4,0,4,0,4,2,3,4,4,0,0,4,4,4,4,0,0,2,1,1,1,0,0,4,4,2,4,3,4,3,4,2,4,2,4,4,4,2,3,0,3,2,0,0,1,0,0,4,4,4,4,4,4,2,4,2,4,4,4,4,4,3,4,0,4,2,1,1,1,0,0
A089_T1,3,0,4,4,0,4,4,4,4,4,0,0,3,4,4,2,0,0,2,1,3,4,0,0,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,1,1,4,2,1,1,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,1,2,4,1,0,4,1,2,1,4,0,1
A089_T2,4,4,4,4,4,0,4,4,4,4,4,4,1,4,2,2,1,0,1,1,2,1,1,1,4,4,4,4,4,4,4,3,4,4,4,1,2,4,2,2,2,1,1,1,3,1,1,1,4,4,3,4,3,4,4,1,4,4,4,0,1,3,2,2,3,0,2,1,4,1,1,0
A089_T3,0,4,4,0,0,4,4,4,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,4,4,2,3,4,3,4,4,2,3,4,2,3,0,1,0,1,1,2,0,0,0,0,4,4,3,4,4,3,4,4,4,3,3,4,2,3,0,2,0,1,1,2,0,1,1,0
A089_T4,4,4,4,4,0,0,4,4,2,4,0,0,0,2,2,2,0,0,2,1,1,0,0,0,1,4,3,4,4,2,1,4,2,4,4,2,0,4,1,1,1,0,0,1,0,1,0,0,4,4,2,4,3,3,0,4,2,4,4,3,1,4,1,1,0,0,0,0,0,1,0,0
A090_T1,4,2,2,2,2,0,2,2,2,1,1,0,2,1,2,1,0,0,1,1,0,0,0,0,0,1,1,2,3,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,3,4,2,3,4,3,2,2,1,1,1,3,2,2,1,1,0,1,2,1,1,1,1,1
A090_T2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,4,4,4,3,3,1,1,4,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,4,3,2,3,3,3,3,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0
A090_T3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,2,2,2,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
A090_T4,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
A091_T1,4,0,2,0,0,4,4,4,2,0,0,0,4,3,4,0,0,0,2,3,2,0,0,0,4,4,4,4,4,4,4,2,4,4,4,4,2,2,2,2,2,4,0,2,2,2,2,2,4,4,4,4,4,4,4,2,3,4,2,4,2,3,2,2,0,4,2,2,2,1,1,1
A091_T2,4,3,3,3,3,4,2,2,2,3,3,2,2,2,2,2,2,4,2,2,2,2,2,2,4,4,4,4,2,4,4,2,0,2,2,2,2,2,0,2,2,4,2,0,0,0,0,0,4,4,4,4,4,4,4,2,2,3,4,3,2,2,0,2,1,4,0,0,0,0,0,0
A091_T3,0,0,2,0,1,3,2,1,0,2,0,0,2,1,0,2,0,0,1,0,0,0,0,0,4,2,4,4,3,4,2,1,2,2,2,3,2,2,2,2,2,3,0,0,0,0,0,0,4,4,4,4,4,4,2,3,2,4,1,3,2,2,2,2,1,2,0,0,0,0,0,0
A091_T4,0,0,4,4,0,4,1,4,2,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,4,4,4,4,2,4,2,4,2,2,2,4,1,2,4,1,1,4,0,0,0,0,0,0,4,4,3,4,4,4,3,4,2,2,2,4,2,2,4,2,0,4,0,0,0,0,0,0
A092_T1,0,0,1,0,0,2,4,0,4,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,1,4,4,2,4,4,1,1,4,0,1,0,0,1,1,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,1,4,4,0,0,0,0,0,0
A092_T2,0,0,4,4,0,0,0,3,4,4,3,0,0,0,1,1,0,0,0,0,2,0,0,0,1,4,4,4,4,1,3,4,4,4,4,1,0,1,0,2,1,1,0,0,4,0,0,0,4,4,4,4,4,4,2,4,4,4,4,0,2,1,0,2,1,1,0,0,4,0,0,0
A092_T3,1,0,4,1,1,0,4,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,4,4,4,0,0,2,2,2,2,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,4,4,2,4,4,4,2,2,4,0,4,4,4,2,1,1,0,4,0,0,0,0,0,0
A092_T4,0,0,0,0,3,0,2,1,0,2,3,2,3,1,0,1,3,1,0,0,0,0,0,0,2,0,2,3,2,1,2,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,2,2,3,4,3,1,0,0,0,1,1,1,0,0,0,0,0,0
A093_T1,3,4,4,4,0,0,4,4,4,4,0,0,3,4,4,1,0,0,4,3,4,3,0,0,4,4,4,4,3,4,4,4,4,4,2,4,3,4,3,4,2,4,3,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,2,4,3,4,3,1,2,4,3,3,4,2,2,2
A093_T2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,3,2,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2
A093_T3,2,3,2,2,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,1,1,1,1,2,3,3,3,3,2,3,2,3,3,3,2,3,2,2,2,2,1,2,2,2,2,3,1,1,2,3,2,3,3,3,2,2,2,3,1,2,2,2,2,1,1,1,1,2,1,2,1,2
A093_T4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1
A094_T1,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,4,4,4,3,4,4,1,3,1,1,2,1,0,1,1,1,1,1,0,1,1,0,1,4,4,4,4,2,4,2,1,1,1,0,2,2,1,1,1,0,1,2,1,0,1,0,0
A094_T2,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,3,4,4,4,2,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,4,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1
A094_T3,0,0,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,3,4,4,2,4,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,4,4,4,3,4,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1
A094_T4,0,0,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,1,1,2,1,0,2,0,0,2,1,4,2,0,0,0,1,0,0,0,0
A095_T1,4,0,4,0,0,4,4,0,4,0,0,2,2,0,3,4,0,2,3,0,4,0,0,2,4,4,4,4,4,4,4,4,4,4,3,4,1,4,4,2,1,4,2,1,4,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,2,1,4,2,2,2
A095_T2,2,0,2,3,0,0,2,1,0,0,3,0,1,1,0,0,2,0,1,1,0,0,0,0,4,1,4,4,4,4,0,1,4,3,2,2,0,1,1,1,1,2,0,1,1,4,0,1,4,4,4,4,4,4,2,3,4,4,3,4,0,2,0,1,1,1,0,1,0,3,2,1
A095_T3,0,0,0,0,0,4,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,2,1,2,4,2,0,0,1,1,1,0,1,1,0,0,3,4,4,4,4,4,4,4,4,4,0,4,4,1,2,3,0,1,2,1,3,1,2,1,1
A095_T4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,3,4,4,3,0,1,2,3,2,1,0,0,1,1,0,2,0,0,1,2,4,4,4,4,4,4,2,4,1,1,1,2,2,2,0,1,1,1,0,1,1,1,2,1
A096_T1,1,2,4,4,1,4,3,3,4,3,1,3,4,3,4,3,2,3,3,2,4,2,1,1,4,4,4,1,4,0,4,4,4,1,4,2,2,4,4,1,4,2,3,4,4,0,2,2,4,4,4,4,3,4,4,4,4,3,2,4,3,4,4,3,2,3,4,4,4,3,2,3
A096_T2,2,0,0,0,0,4,4,4,2,4,2,1,2,3,3,4,0,2,4,3,3,3,2,2,3,0,2,0,3,0,3,0,2,0,2,1,3,0,2,0,2,1,3,0,2,0,2,1,4,4,4,4,4,2,4,4,4,4,2,2,2,2,3,4,2,2,2,3,3,3,1,2
A096_T3,1,2,3,4,4,4,4,4,3,2,2,2,4,3,3,2,2,2,3,3,2,3,1,2,3,2,0,4,3,4,1,3,0,4,4,2,2,2,0,3,4,3,2,2,0,3,4,3,4,1,4,3,4,4,3,0,4,2,2,3,2,0,4,2,2,2,2,0,4,3,2,3
A096_T4,0,4,4,4,4,4,3,4,4,4,3,1,3,3,2,2,2,0,4,3,3,2,3,0,0,4,4,4,4,1,1,3,2,4,3,2,1,2,4,3,3,2,1,4,3,4,4,1,2,4,4,4,2,0,3,4,3,4,2,0,1,2,4,2,2,0,2,4,4,4,2,0
A097_T1,1,1,4,4,1,1,1,4,0,1,0,0,1,2,0,0,0,0,1,4,0,0,0,0,1,0,1,4,1,4,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,4,4,4,4,4,1,0,1,2,1,4,0,0,1,1,1,1,0,0,1,4,1,1
A097_T2,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,2,2,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,3,3,1,2,2,1,3,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0
A097_T3,2,1,3,1,1,0,1,1,3,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,2,1,4,0,2,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,3,1,2,3,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A097_T4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,2,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,2,1,2,1,2,2,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
A098_T1,0,2,3,0,4,4,4,4,4,4,4,0,2,2,2,1,1,0,3,1,1,1,0,0,4,4,4,4,4,4,2,4,4,4,4,4,1,1,4,1,0,3,1,0,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,3,1,2,0,1,4,3
A098_T2,1,0,4,0,1,1,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,4,4,1,4,4,4,4,1,1,0,0,0,1,1,1,0,1,0,1,4,4,4,4,4,4,4,1,4,4,4,4,2,0,1,1,0,1,1,0,0,1,0,1
A098_T3,4,4,4,4,4,0,4,4,4,4,4,0,4,2,1,1,1,0,4,1,1,0,0,0,4,4,4,4,4,4,4,4,4,3,4,2,1,1,1,0,4,2,2,1,0,0,4,2,4,4,4,4,2,4,4,4,4,4,4,1,1,2,2,2,4,2,1,2,3,1,4,4
A098_T4,0,0,4,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,4,4,4,4,4,4,4,4,4,0,1,2,1,1,0,0,1,2,1,4,3,0,2,4,4,3,4,4,4,2,4,4,4,0,4,4,2,1,1,2,2,2,2,4,0,0,2
A099_T1,4,2,3,4,1,4,4,4,4,4,4,1,4,4,4,4,2,1,4,2,2,2,2,1,4,4,4,4,4,4,2,1,1,4,3,4,4,1,1,4,3,4,1,1,1,4,1,2,4,4,4,4,4,4,2,2,2,4,3,4,4,2,2,4,3,4,2,1,1,4,1,1
A099_T2,2,4,4,2,2,4,4,4,4,4,2,2,2,4,3,3,3,2,2,1,1,1,1,1,1,4,4,4,4,4,1,4,4,4,3,4,1,4,4,3,2,2,1,3,1,1,0,1,1,4,4,4,4,4,1,4,4,3,4,4,3,4,4,2,1,3,1,2,2,1,1,1
A099_T3,4,4,4,4,4,4,4,4,4,4,1,3,2,1,1,1,1,1,3,1,1,1,1,1,4,4,4,4,4,4,2,4,3,4,4,3,2,2,4,2,2,3,1,1,1,1,4,1,4,4,4,4,4,4,2,4,3,4,4,2,2,2,4,3,2,2,1,1,1,1,4,1
A099_T4,4,4,4,4,4,0,4,4,4,4,4,2,4,4,4,4,2,2,1,1,4,1,1,0,1,4,4,4,4,4,1,4,4,4,4,1,4,4,4,4,4,1,0,1,4,1,1,0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,3,4,1,1,1
A100_T1,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
A100_T2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
A100_T3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,4,3,3,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2,3,4,4,4,4,4,3,2,2,4,3,2,2,3,2,2,3,2,3,2,3,2,0,2,2
A100_T4,2,2,1,3,2,2,2,3,2,2,1,1,2,3,2,2,2,1,2,2,2,2,3,1,2,3,3,3,3,3,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,2,2,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1
A101_T1,1,1,0,1,1,1,1,0,1,2,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,2,2,1,2,3,1,1,0,3,0,1,2,0,0,2,0,1,0,0,0,0,0,0,3,4,4,4,4,4,2,4,4,4,1,4,4,1,1,1,2,2,1,0,0,1,1,1
A101_T2,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,4,4,3,3,0,0,3,0,3,1,0,0,1,0,1,1,0,0,0,0,1,0,4,4,1,4,4,4,2,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
A101_T3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,2,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
A101_T4,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,2,2,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
A102_T1,4,4,4,4,2,0,2,2,4,4,2,0,4,2,0,0,1,0,2,0,2,1,0,0,4,4,4,4,4,4,3,4,2,4,3,2,3,1,4,1,0,1,1,2,0,0,2,0,4,4,4,4,4,4,3,4,2,4,1,3,3,0,4,0,2,2,0,0,2,0,2,2
A102_T2,4,0,4,4,4,0,4,0,4,2,4,0,0,0,4,0,0,2,1,0,4,1,0,0,4,3,4,4,4,2,4,3,4,2,4,1,1,0,4,0,2,0,1,0,3,2,0,0,4,4,2,4,4,4,4,0,4,2,4,4,0,0,4,1,1,0,1,0,2,0,0,0
A102_T3,0,0,2,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,4,2,4,0,2,4,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,4,4,4,4,4,4,0,2,4,4,2,4,1,0,2,2,2,0,0,0,0,0,0,0
A102_T4,0,4,0,4,4,4,2,3,4,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,4,2,4,4,4,2,4,0,2,2,4,4,0,0,2,1,0,0,0,0,0,0,0,3,4,4,4,4,4,2,4,2,0,3,4,4,0,1,1,1,0,0,0,0,0,0,0
A103_T1,4,0,4,3,3,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,0,0,0,0,2,3,0,0,0,0,2,1,0,0,0,0,0,0
A103_T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
A103_T3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A103_T4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A104_T1,4,4,4,0,4,4,4,4,4,2,2,0,2,3,1,4,2,0,1,1,1,4,2,0,4,4,4,4,4,4,4,4,2,4,4,4,4,3,2,4,4,4,3,2,2,1,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,2,4,1,1,1,1,1
A104_T2,1,4,4,4,2,4,4,3,1,1,4,1,1,3,1,1,0,1,1,1,1,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,3,0,4,1,0,0,0,0,0
