domain,predictor,beta,p_value,significance
What,RAVLT_T,0.1083560020138749,0.0718889973585383,ns
What,RAVLT_Pct_Ret_T,0.1261343357166879,0.0337691527329037,*
What,BVMT_T,0.061120086619067,0.3610043800828915,ns
What,BVMT_Pct_Ret_T,0.0849034255012444,0.1345730004098209,ns
What,RPM_T,0.1647818110091241,0.01257668386336,*
Where,RAVLT_T,0.063861304718296,0.3209269337682511,ns
Where,RAVLT_Pct_Ret_T,0.1396087158179245,0.0289815279804607,*
Where,BVMT_T,0.0625452494227019,0.3845371903736929,ns
Where,BVMT_Pct_Ret_T,0.0550149163495185,0.3653604995051503,ns
Where,RPM_T,0.1945371872714973,0.0063135555995507,**
When,RAVLT_T,0.0320973243096931,0.2915071640763186,ns
When,RAVLT_Pct_Ret_T,0.0063145491767338,0.8324343175641804,ns
When,BVMT_T,0.0284142602432072,0.4033203825811495,ns
When,BVMT_Pct_Ret_T,-0.0035669562011293,0.9009951049896964,ns
When,RPM_T,0.0466917246961571,0.159406765969643,ns
