item_name,Difficulty,Overall_Discrimination,Discrim_What,Discrim_Where,Discrim_When
TC_ICR-D-i1,0.6257982850074768,1.2654755,0.0,1.2654755,0.0
TC_ICR-D-i2,0.7244715690612793,1.5524626,0.0,1.5524626,0.0
TC_ICR-D-i3,0.3399944603443146,1.2141094,0.0,1.2141094,0.0
TC_ICR-D-i4,0.46462365984916687,1.6769857,0.0,1.6769857,0.0
TC_ICR-D-i5,0.9079347252845764,1.3676319,0.0,1.3676319,0.0
TC_ICR-D-i6,0.601151704788208,1.3485073,0.0,1.3485073,0.0
TC_ICR-N-i1,-0.9249853491783142,1.8526998,1.8526998,0.0,0.0
TC_ICR-N-i2,-1.0540415048599243,1.7559086,1.7559086,0.0,0.0
TC_ICR-N-i3,-1.3162612915039062,1.9692035,1.9692035,0.0,0.0
TC_ICR-N-i4,-1.2823233604431152,1.9931811,1.9931811,0.0,0.0
TC_ICR-N-i5,-1.0209810733795166,1.9399086,1.9399086,0.0,0.0
TC_ICR-N-i6,-1.1281747817993164,1.6203731,1.6203731,0.0,0.0
TC_ICR-O-i1,1.3795664310455322,1.913286,0.0,0.0,1.913286
TC_ICR-O-i2,1.2789950370788574,2.086621,0.0,0.0,2.086621
TC_ICR-O-i3,0.9078865647315979,1.8407551,0.0,0.0,1.8407551
TC_ICR-O-i4,1.112802505493164,1.6533877,0.0,0.0,1.6533877
TC_ICR-O-i5,1.239912748336792,2.0809233,0.0,0.0,2.0809233
TC_ICR-O-i6,1.2955131530761719,2.572117,0.0,0.0,2.572117
TC_ICR-U-i1,-0.12422318756580353,1.7324666,0.0,1.7324666,0.0
TC_ICR-U-i2,-0.39279109239578247,1.5021324,0.0,1.5021324,0.0
TC_ICR-U-i3,-0.39222681522369385,1.7107338,0.0,1.7107338,0.0
TC_ICR-U-i4,-0.41497454047203064,1.6531737,0.0,1.6531737,0.0
TC_ICR-U-i5,-0.10946588218212128,1.6620053,0.0,1.6620053,0.0
TC_ICR-U-i6,-0.0328938364982605,1.3461747,0.0,1.3461747,0.0
TC_IFR-D-i1,0.608601450920105,1.0715969,0.0,1.0715969,0.0
TC_IFR-D-i2,0.6755574941635132,1.3359762,0.0,1.3359762,0.0
TC_IFR-D-i3,0.6596600413322449,1.3369933,0.0,1.3369933,0.0
TC_IFR-D-i4,0.9557654857635498,1.2804282,0.0,1.2804282,0.0
TC_IFR-D-i5,1.3275943994522095,1.2431754,0.0,1.2431754,0.0
TC_IFR-D-i6,1.807995319366455,1.0487499,0.0,1.0487499,0.0
TC_IFR-N-i1,-0.1015053391456604,1.1768514,1.1768514,0.0,0.0
TC_IFR-N-i2,0.2908405065536499,0.9445271,0.9445271,0.0,0.0
TC_IFR-N-i3,-0.40877068042755127,0.99981177,0.99981177,0.0,0.0
TC_IFR-N-i4,-0.47984471917152405,0.7928734,0.7928734,0.0,0.0
TC_IFR-N-i5,0.5290912389755249,0.9192769,0.9192769,0.0,0.0
TC_IFR-N-i6,0.3813248872756958,1.1085845,1.1085845,0.0,0.0
TC_IFR-O-i1,1.0311644077301025,1.751039,0.0,0.0,1.751039
TC_IFR-O-i2,1.385960340499878,1.8503718,0.0,0.0,1.8503718
TC_IFR-O-i3,1.114261269569397,1.5740193,0.0,0.0,1.5740193
TC_IFR-O-i4,1.5997923612594604,2.1419194,0.0,0.0,2.1419194
TC_IFR-O-i5,1.8510562181472778,1.9298161,0.0,0.0,1.9298161
TC_IFR-O-i6,1.9881044626235962,1.7612606,0.0,0.0,1.7612606
TC_IFR-U-i1,-0.569642961025238,1.413697,0.0,1.413697,0.0
TC_IFR-U-i2,0.04965461790561676,1.2924902,0.0,1.2924902,0.0
TC_IFR-U-i3,-0.12160197645425797,1.4376932,0.0,1.4376932,0.0
TC_IFR-U-i4,0.6143344044685364,1.3280178,0.0,1.3280178,0.0
TC_IFR-U-i5,0.7675929069519043,1.3114989,0.0,1.3114989,0.0
TC_IFR-U-i6,1.8048717975616455,1.0601928,0.0,1.0601928,0.0
TC_IRE-D-i1,0.3729313015937805,1.1106255,0.0,1.1106255,0.0
TC_IRE-D-i2,0.5991729497909546,1.450375,0.0,1.450375,0.0
TC_IRE-D-i3,0.14635026454925537,1.2200062,0.0,1.2200062,0.0
TC_IRE-D-i4,0.3301180899143219,1.5238445,0.0,1.5238445,0.0
TC_IRE-D-i5,0.6449719071388245,1.1709642,0.0,1.1709642,0.0
TC_IRE-D-i6,0.4067678153514862,1.2523985,0.0,1.2523985,0.0
TC_IRE-N-i1,-2.0458688735961914,1.7202208,1.7202208,0.0,0.0
TC_IRE-N-i2,-2.130993127822876,1.8252255,1.8252255,0.0,0.0
TC_IRE-N-i3,-1.9289641380310059,1.455745,1.455745,0.0,0.0
TC_IRE-N-i4,-2.043226718902588,1.7446338,1.7446338,0.0,0.0
TC_IRE-N-i5,-2.275424003601074,1.3156679,1.3156679,0.0,0.0
TC_IRE-N-i6,-2.206965923309326,1.4286304,1.4286304,0.0,0.0
TC_IRE-O-i1,1.4215116500854492,1.6942883,0.0,0.0,1.6942883
TC_IRE-O-i2,1.3053174018859863,2.0506365,0.0,0.0,2.0506365
TC_IRE-O-i3,0.8596226572990417,1.7913104,0.0,0.0,1.7913104
TC_IRE-O-i4,1.014037847518921,1.6731353,0.0,0.0,1.6731353
TC_IRE-O-i5,1.2522988319396973,1.9023257,0.0,0.0,1.9023257
TC_IRE-O-i6,1.289541482925415,2.4544957,0.0,0.0,2.4544957
TC_IRE-U-i1,-0.5639399886131287,1.569269,0.0,1.569269,0.0
TC_IRE-U-i2,-0.7501132488250732,1.3026452,0.0,1.3026452,0.0
TC_IRE-U-i3,-0.7221479415893555,1.5180521,0.0,1.5180521,0.0
TC_IRE-U-i4,-0.6402495503425598,1.3240308,0.0,1.3240308,0.0
TC_IRE-U-i5,-0.3586326837539673,1.5097706,0.0,1.5097706,0.0
TC_IRE-U-i6,-0.41631072759628296,1.2653737,0.0,1.2653737,0.0
TC_RFR-L-DOOR,0.11795008182525635,1.3278326,0.0,1.3278326,0.0
TC_RFR-L-LAND,0.27686142921447754,1.5082765,0.0,1.5082765,0.0
