composite_ID,TSVR_hours,test
A055_T4,149.21,T4
A056_T1,1.0,T1
A056_T2,33.61,T2
A056_T3,71.46,T3
A056_T4,147.84,T4
A057_T1,1.0,T1
A057_T2,24.78,T2
A057_T3,73.83,T3
A057_T4,145.06,T4
A058_T1,1.0,T1
A058_T2,22.96,T2
A058_T3,66.28,T3
A058_T4,143.48,T4
A059_T1,1.0,T1
A059_T2,30.4,T2
A059_T3,79.78,T3
A059_T4,151.93,T4
A060_T1,1.0,T1
A060_T2,24.87,T2
A060_T3,94.68,T3
A060_T4,143.91,T4
A061_T1,1.0,T1
A061_T2,35.16,T2
A061_T3,82.55,T3
A061_T4,146.56,T4
A062_T1,1.0,T1
A062_T2,44.69,T2
A062_T3,92.72,T3
A062_T4,149.18,T4
A063_T1,1.0,T1
A063_T2,21.98,T2
A063_T3,69.99,T3
A063_T4,141.09,T4
A064_T1,1.0,T1
A064_T2,37.65,T2
A064_T3,82.99,T3
A064_T4,156.21,T4
A065_T1,1.0,T1
A065_T2,32.31,T2
A065_T3,106.41,T3
A065_T4,187.43,T4
A066_T1,1.0,T1
A066_T2,23.35,T2
A066_T3,73.79,T3
A066_T4,164.93,T4
A067_T1,1.0,T1
A067_T2,29.91,T2
A067_T3,73.19,T3
A067_T4,144.19,T4
A068_T1,1.0,T1
A068_T2,30.49,T2
A068_T3,82.98,T3
A068_T4,155.59,T4
A069_T1,1.0,T1
A069_T2,24.96,T2
A069_T3,79.75,T3
A069_T4,140.22,T4
A070_T1,1.0,T1
A070_T2,24.25,T2
A070_T3,81.92,T3
A070_T4,149.2,T4
A071_T1,1.0,T1
A071_T2,30.92,T2
A071_T3,79.96,T3
A071_T4,153.27,T4
A072_T1,1.0,T1
A072_T2,33.76,T2
A072_T3,83.54,T3
A072_T4,154.89,T4
A073_T1,1.0,T1
A073_T2,66.66,T2
A073_T3,66.9,T3
A073_T4,140.12,T4
A074_T1,1.0,T1
A074_T2,29.33,T2
A074_T3,73.02,T3
A074_T4,147.21,T4
A075_T1,1.0,T1
A075_T2,28.68,T2
A075_T3,71.37,T3
A075_T4,244.53,T4
A076_T1,1.0,T1
A076_T2,27.3,T2
A076_T3,74.88,T3
A076_T4,149.28,T4
A077_T1,1.0,T1
A077_T2,53.88,T2
A077_T3,78.36,T3
A077_T4,149.75,T4
A078_T1,1.0,T1
A078_T2,26.17,T2
A078_T3,72.3,T3
A078_T4,140.08,T4
A079_T1,1.0,T1
A079_T2,26.11,T2
A079_T3,74.0,T3
A079_T4,194.42,T4
A080_T1,1.0,T1
A080_T2,29.03,T2
A080_T3,72.87,T3
A080_T4,145.77,T4
A081_T1,1.0,T1
A081_T2,31.39,T2
A081_T3,80.13,T3
A081_T4,154.53,T4
A082_T1,1.0,T1
A082_T2,27.97,T2
A082_T3,75.71,T3
A082_T4,170.25,T4
A083_T1,1.0,T1
A083_T2,25.15,T2
A083_T3,74.3,T3
A083_T4,144.91,T4
A084_T1,1.0,T1
A084_T2,27.25,T2
A084_T3,91.97,T3
A084_T4,162.51,T4
A085_T1,1.0,T1
A085_T2,24.51,T2
A085_T3,71.4,T3
A085_T4,170.65,T4
A086_T1,1.0,T1
A086_T2,23.47,T2
A086_T3,145.29,T3
A086_T4,169.55,T4
A087_T1,1.0,T1
A087_T2,31.07,T2
A087_T3,72.8,T3
A087_T4,144.2,T4
A088_T1,1.0,T1
A088_T2,24.25,T2
A088_T3,74.91,T3
A088_T4,149.93,T4
A089_T1,1.0,T1
A089_T2,32.14,T2
A089_T3,79.34,T3
A089_T4,146.96,T4
A090_T1,1.0,T1
A090_T2,23.54,T2
A090_T3,95.42,T3
A090_T4,144.07,T4
A091_T1,1.0,T1
A091_T2,22.2,T2
A091_T3,73.64,T3
A091_T4,142.61,T4
A092_T1,1.0,T1
A092_T2,22.83,T2
A092_T3,71.31,T3
A092_T4,146.16,T4
A093_T1,1.0,T1
A093_T2,22.09,T2
A093_T3,70.22,T3
A093_T4,140.95,T4
A094_T1,1.0,T1
A094_T2,22.98,T2
A094_T3,76.21,T3
A094_T4,149.99,T4
A095_T1,1.0,T1
A095_T2,29.71,T2
A095_T3,78.76,T3
A095_T4,148.79,T4
A096_T1,1.0,T1
A096_T2,24.49,T2
A096_T3,71.19,T3
A096_T4,143.66,T4
A097_T1,1.0,T1
A097_T2,24.37,T2
A097_T3,70.83,T3
A097_T4,144.85,T4
A098_T1,1.0,T1
A098_T2,25.77,T2
A098_T3,78.84,T3
A098_T4,146.29,T4
A099_T1,1.0,T1
A099_T2,28.75,T2
A099_T3,78.57,T3
A099_T4,143.51,T4
A100_T1,1.0,T1
A100_T2,31.14,T2
A100_T3,75.34,T3
A100_T4,146.8,T4
A101_T1,1.0,T1
A101_T2,29.12,T2
A101_T3,75.21,T3
A101_T4,150.22,T4
A102_T1,1.0,T1
A102_T2,29.13,T2
A102_T3,75.27,T3
A102_T4,150.41,T4
A103_T1,1.0,T1
A103_T2,27.26,T2
A103_T3,80.24,T3
A103_T4,149.72,T4
A104_T1,1.0,T1
A104_T2,22.6,T2
A104_T3,72.62,T3
A104_T4,145.78,T4
A105_T1,1.0,T1
A105_T2,22.77,T2
A105_T3,69.46,T3
A105_T4,146.2,T4
A106_T1,1.0,T1
A106_T2,22.64,T2
A106_T3,66.08,T3
A106_T4,147.13,T4
A107_T1,1.0,T1
A107_T2,26.22,T2
A107_T3,71.45,T3
A107_T4,145.95,T4
A108_T1,1.0,T1
A108_T2,27.61,T2
A108_T3,68.96,T3
A108_T4,152.12,T4
A109_T1,1.0,T1
A109_T2,24.65,T2
A109_T3,71.17,T3
A109_T4,149.87,T4
