item_name,Difficulty,Overall_Discrimination,Discrim_IFR,Discrim_ICR,Discrim_IRE
TC_ICR-D-i1,0.6258493661880493,2.985817,0.0,2.985817,0.0
TC_ICR-D-i2,0.3388245105743408,5.017939,0.0,5.017939,0.0
TC_ICR-D-i3,0.6010512113571167,2.7924871,0.0,2.7924871,0.0
TC_ICR-D-i4,0.3593958020210266,4.4579954,0.0,4.4579954,0.0
TC_ICR-D-i5,0.490675687789917,3.8097873,0.0,3.8097873,0.0
TC_ICR-D-i6,0.4574871063232422,3.6988075,0.0,3.6988075,0.0
TC_ICR-N-i1,0.1628415435552597,4.0520883,0.0,4.0520883,0.0
TC_ICR-N-i2,0.10743281245231628,4.590583,0.0,4.590583,0.0
TC_ICR-N-i3,0.05900067463517189,4.5685344,0.0,4.5685344,0.0
TC_ICR-N-i4,0.04850942641496658,4.759517,0.0,4.759517,0.0
TC_ICR-N-i5,0.07998186349868774,5.303258,0.0,5.303258,0.0
TC_ICR-N-i6,0.14281603693962097,4.0231075,0.0,4.0231075,0.0
TC_ICR-O-i1,0.5847502946853638,4.28033,0.0,4.28033,0.0
TC_ICR-O-i2,0.8873648047447205,2.8311012,0.0,2.8311012,0.0
TC_ICR-O-i3,0.6811965703964233,2.9454372,0.0,2.9454372,0.0
TC_ICR-O-i4,1.1542454957962036,1.9740169,0.0,1.9740169,0.0
TC_ICR-O-i5,0.8334319591522217,2.8835928,0.0,2.8835928,0.0
TC_ICR-O-i6,0.6043128371238708,4.2739096,0.0,4.2739096,0.0
TC_ICR-U-i1,0.2331489473581314,4.4817047,0.0,4.4817047,0.0
TC_ICR-U-i2,0.2520061135292053,4.037182,0.0,4.037182,0.0
TC_ICR-U-i3,0.2125360667705536,4.3348947,0.0,4.3348947,0.0
TC_ICR-U-i4,0.24419409036636353,4.134809,0.0,4.134809,0.0
TC_ICR-U-i5,0.20107075572013855,5.08921,0.0,5.08921,0.0
TC_ICR-U-i6,0.3929171860218048,3.3559024,0.0,3.3559024,0.0
TC_IFR-D-i1,0.8832038640975952,2.2444966,2.2444966,0.0,0.0
TC_IFR-D-i2,0.47930392622947693,3.7044864,3.7044864,0.0,0.0
TC_IFR-D-i3,0.46026986837387085,3.7722788,3.7722788,0.0,0.0
TC_IFR-D-i4,0.5130154490470886,3.6329908,3.6329908,0.0,0.0
TC_IFR-D-i5,0.5421620607376099,3.7074192,3.7074192,0.0,0.0
TC_IFR-D-i6,0.5091817378997803,4.2045784,4.2045784,0.0,0.0
TC_IFR-N-i1,0.3089447617530823,3.798696,3.798696,0.0,0.0
TC_IFR-N-i2,0.4010113477706909,3.4540842,3.4540842,0.0,0.0
TC_IFR-N-i3,0.33163028955459595,3.376702,3.376702,0.0,0.0
TC_IFR-N-i4,0.5351456999778748,2.49738,2.49738,0.0,0.0
TC_IFR-N-i5,0.41044583916664124,3.723872,3.723872,0.0,0.0
TC_IFR-N-i6,0.40663471817970276,3.5260036,3.5260036,0.0,0.0
TC_IFR-O-i1,1.1100190877914429,2.1073582,2.1073582,0.0,0.0
TC_IFR-O-i2,0.7835608720779419,3.3861327,3.3861327,0.0,0.0
TC_IFR-O-i3,0.4445132315158844,4.3749146,4.3749146,0.0,0.0
TC_IFR-O-i4,0.9236771464347839,3.0402617,3.0402617,0.0,0.0
TC_IFR-O-i5,0.8814761638641357,3.3540812,3.3540812,0.0,0.0
TC_IFR-O-i6,1.0143132209777832,2.8965583,2.8965583,0.0,0.0
TC_IFR-U-i1,0.24212870001792908,3.8230386,3.8230386,0.0,0.0
TC_IFR-U-i2,0.3480140268802643,3.7823937,3.7823937,0.0,0.0
TC_IFR-U-i3,0.25447577238082886,4.225486,4.225486,0.0,0.0
TC_IFR-U-i4,0.3771485984325409,4.204128,4.204128,0.0,0.0
TC_IFR-U-i5,0.29001060128211975,5.1871104,5.1871104,0.0,0.0
TC_IFR-U-i6,0.6217580437660217,3.5085282,3.5085282,0.0,0.0
TC_IRE-D-i1,0.6909757256507874,2.651343,0.0,0.0,2.651343
TC_IRE-D-i2,0.48367172479629517,3.931771,0.0,0.0,3.931771
TC_IRE-D-i3,0.7318077683448792,2.38307,0.0,0.0,2.38307
TC_IRE-D-i4,0.41013103723526,3.9593115,0.0,0.0,3.9593115
TC_IRE-D-i5,0.5059324502944946,3.6001186,0.0,0.0,3.6001186
TC_IRE-D-i6,0.4471491575241089,3.728273,0.0,0.0,3.728273
TC_IRE-N-i1,0.13297484815120697,3.14709,0.0,0.0,3.14709
TC_IRE-N-i2,0.0744430348277092,3.4955728,0.0,0.0,3.4955728
TC_IRE-N-i3,0.3015313148498535,2.6956682,0.0,0.0,2.6956682
TC_IRE-N-i4,0.07969930022954941,3.6848536,0.0,0.0,3.6848536
TC_IRE-N-i5,0.21940775215625763,2.9364069,0.0,0.0,2.9364069
TC_IRE-N-i6,0.19914615154266357,3.0420268,0.0,0.0,3.0420268
TC_IRE-O-i1,0.8548006415367126,3.0654223,0.0,0.0,3.0654223
TC_IRE-O-i2,0.9318065643310547,2.8777144,0.0,0.0,2.8777144
TC_IRE-O-i3,0.8257951736450195,2.4992213,0.0,0.0,2.4992213
TC_IRE-O-i4,1.2174967527389526,1.8586793,0.0,0.0,1.8586793
TC_IRE-O-i5,0.978347659111023,2.5427613,0.0,0.0,2.5427613
TC_IRE-O-i6,0.6465357542037964,4.2800236,0.0,0.0,4.2800236
TC_IRE-U-i1,0.27971237897872925,3.800031,0.0,0.0,3.800031
TC_IRE-U-i2,0.32313400506973267,3.2076025,0.0,0.0,3.2076025
TC_IRE-U-i3,0.341117799282074,3.1115282,0.0,0.0,3.1115282
TC_IRE-U-i4,0.4484095871448517,2.7415001,0.0,0.0,2.7415001
TC_IRE-U-i5,0.23434442281723022,4.369756,0.0,0.0,4.369756
TC_IRE-U-i6,0.43853941559791565,2.917927,0.0,0.0,2.917927
