item_name,Source,Destination
TC_IFR-U-i1,1,0
TC_IFR-U-i2,1,0
TC_IFR-U-i3,1,0
TC_IFR-U-i4,1,0
TC_IFR-U-i5,1,0
TC_IFR-U-i6,1,0
TC_ICR-U-i1,1,0
TC_ICR-U-i2,1,0
TC_ICR-U-i3,1,0
TC_ICR-U-i4,1,0
TC_ICR-U-i5,1,0
TC_ICR-U-i6,1,0
TC_IRE-U-i1,1,0
TC_IRE-U-i2,1,0
TC_IRE-U-i3,1,0
TC_IRE-U-i4,1,0
TC_IRE-U-i5,1,0
TC_IRE-U-i6,1,0
TC_IFR-D-i1,0,1
TC_IFR-D-i2,0,1
TC_IFR-D-i3,0,1
TC_IFR-D-i4,0,1
TC_IFR-D-i5,0,1
TC_IFR-D-i6,0,1
TC_ICR-D-i1,0,1
TC_ICR-D-i2,0,1
TC_ICR-D-i3,0,1
TC_ICR-D-i4,0,1
TC_ICR-D-i5,0,1
TC_ICR-D-i6,0,1
TC_IRE-D-i1,0,1
TC_IRE-D-i2,0,1
TC_IRE-D-i3,0,1
TC_IRE-D-i4,0,1
TC_IRE-D-i5,0,1
TC_IRE-D-i6,0,1
